com.imcaller,81.05,0.0
com.example.businesshall,77.68,0.0
com.ci123.pregnancywap,74.6,0.0
com.husor.mizhe,72.98,0.0
com.kingpoint.gmcchh,71.81,0.0
pinkdiary.xiaoxiaotu.com,71.42,0.0
com.husor.beibei,71.4,0.0
com.ymatou.shop,70.24,0.0
com.xsg.launcher,69.84,0.0
com.sh.cm.busihall,69.59,0.0
com.cici.tiexin,67.65,0.0
com.zhihu.android,67.48,0.0
com.sogou.wallpaper,66.98,0.0
com.peopledailychina.activity,66.21,0.0
net.iaround,66.02,0.0
com.xinhang.mobileclient,65.63,0.0
com.leixun.taofen8,65.33,0.0
com.culiu.qqpurchase,65.21,0.0
cn.damai,65.05,0.0
com.jd.paipai,64.74,0.0
com.beilou.haigou,64.74,0.0
com.culiu.purchase,63.92,0.0
com.lingan.seeyou,62.77,0.0
uni.jdxt.app,61.64,0.0
com.jm.android.jumei,61.49,0.0
com.yoloho.dayima,61.31,0.0
com.qima.wxd,60.2,0.0
com.mfw.roadbook,60.13,0.0
com.ci123.pregnancy,59.74,0.0
com.yek.lafaso,59.32,0.0
fm.jihua.kecheng,59.3,0.0
com.fanli.android.apps,58.94,0.0
com.douguo.recipe,58.7,0.0
com.gewara,58.68,0.0
com.xiaomi.shop,58.44,0.0
com.thestore.main,58.33,0.0
com.moxiu.launcher,58.13,0.0
com.zhihu.daily.android,57.99,0.0
com.jiayuan,57.95,0.0
com.dangdang.buy2,57.85,0.0
com.wandafilm.app,57.79,0.0
com.xiachufang,57.55,0.0
com.wowotuan,57.3,0.0
com.julaibao.app,56.81,0.0
com.vodone.caibo,56.78,0.0
com.gionee.change,56.6,0.0
com.showlcwss.zigzaggame,56.48,0.0
com.zol.android,55.92,0.0
com.smzdm.client.android,55.9,0.0
com.geili.koudai,55.57,0.0
com.octinn.birthdayplus,55.3,0.0
com.when.coco,55.25,0.0
com.codoon.gps,54.99,0.0
com.yaya.mmbang,54.97,0.0
com.ketchapp.jellyjump,54.95,0.0
com.carrot.carrotfantasy,54.84,0.0
com.lianaibiji.dev,54.83,0.0
com.hyww.wisdomtree,54.77,0.0
cn.mama.activity,54.71,0.0
com.meilishuo,54.43,0.0
com.gexing.ui,54.39,0.0
com.dh.mengsanguoolex,53.93,0.0
com.xiudang.jiukuaiyou.ui,53.58,0.0
com.qihoo360.launcher,53.57,0.0
com.yiwang,53.48,0.0
com.lanshan.weimicommunity,53.46,0.0
com.wochacha,53.35,0.0
com.tencent.qqpinyin,53.13,0.0
com.ganji.android,52.96,0.0
com.jesson.meishi,52.83,0.0
com.feizan.android.snowball,52.67,0.0
com.haodou.recipe,52.66,0.0
com.job.android,52.43,0.0
com.juanpi.ui,52.4,0.0
gov.pianzong.androidnga,52.3,0.0
com.liwushuo.gifttalk,52.27,0.0
com.vmall.client,51.54,0.0
com.culiukeji.huanletao,51.5,0.0
com.android.thememanager,51.34,0.0
com.jiuyan.infashion,51.31,0.0
